दिन	day
दर्शन	vision, audience or auspicious meeting
दावत	(invitation to) a dinner, f
नमक	salt
नुक़सान	the harm
नौजवान	youth, young man
पत्र	letter, note
परंतु	but
पहचान	recognise
प्राध्यापक	lecturer
फ़ायदा	provit, advantage, point
बदा	play (music)
बिक	be sold
भतीजा	nephew
भविष्य	future
भोला	innocent, guileless, simple
मँगवा	order, send for
मचा	create (noise etc.)
मना	prohibited
मिस्तरी	mechanic, artisan
रवानी	fluency
रुक	stop, stay on
रेलगाड़ी	train
लायक़	worth (doing)
लौट	return
विशवविद्यालय	university
व्यवस्था	arrangements, f
समझ	understanding, f
सही	true, correct
हवाई जहाज़	aeroplane
हिल	move, stir
अवशय	certainly
असंभव	impossible
आख़िर	after all
आटो	Auto-rickshaw
आधा	half
इतना	so (much)
इलाज	treatment, cure
उतार	take down, take off
उम्मीद	hope, possibility, f
ऊँचा	high
कंजूस	miserly, mean
काँटा	fork
कामचोर	work-shy, lazy
कि	or (for verbs)
खीच	draw, take (photo)
ख़ुद	oneself
गर्व	pride
गाय	cow, f
गुस्से	angry
चपरासी	peon, orderly, m
चम्मच	spoon
छुरी	knife
ज़िम्मेदारी	responsibility
झूठ	lie
टेढ़ा	twisted, complex
डेढ़	one and a half
तुरंत	immediately
दाम	price
नही तो	otherwise
निवेदन	request
पड़	fall
पता	address
पुलिस	police, f, (no pl.)
बार	time, occasion, f
बोरियत	boredom, f
भारी	heavy
भूल	mistake, f
मक्खी	a fly
मगर	but, although, crocodile
मदद	help, f
मामला	matter, affair
माहिर	expert, skilled
यक़ीन	confidence, faith
यदि	if, in case
लिस्ट	list, f
वक़्त	time
विशवास	belief, confidence
संभव	possible
सफ़ाई	cleaning
सलाह	advice, f
सीढ़ी	stair, staircase
हफ़्ता	week
हाथ बँटा	lend a hand
आनंद	joy, enjoyment
आवश्यकता	necessity, f
उँगली	finger, f
उठा	pick up
उघार	loan
उपहार	present, gift
क़ीमत	price, value, cost, f
कैमरा	camera
खोल	open
गंगा	Ganges, f
गिलास	tumbler (glass or metal)
गीत	song
गुजार	spend (time)
घाट	(steps at) riverbank
चोर	thief
छूट	be left, fall back
जारी	current, continuing
ज़ेवर	(piece of) jewellery
तमाशा	spectacle, show
तेड़	break
तोहफ़ा	a present
दवा	medicine, f
दुकानदार	shopkeeper
दुर्घटना	accident, f
नाक	nose, f
नींद	sleep, f
पढ़ाई	studies, studying
परसों	day before yesterday, day after tomorrow
पहन	put on, wear
पाठ	lesson, chapter
पेट	stomach
प्याला	cup
प्रसिद्ध	famous
बज	resound, chime
वाँह	(upper) arm, f
वेच	sell
भूत	ghost
भेंट	gift, presentation, meeting, encounter, f
मजबूरी	compulsion
मज़ा	fun, pleasure, enjoyment
मान	accept, believe
माफी	forgiveness
माली	gardener, m
मीठा	sweet
मुमकिन	possible, might be
रो	weep, cry
